"id","name","active","regNumber","route","category","status","profile","oldGenericRule"
"137","Irinotecan bidiphar 100mg/5ml TTKN-25","Irinotecan hydroclorid trihydrat","893114093523","Tiêm truyền","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","oncology"
"138","Irinotecan Bidiphar 40mg/2ml TTKN-25","Irinotecan hydroclorid trihydrat","893114115123","Tiêm truyền","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","oncology"
"139","JW Amikacin","Amikacin","VN-19684-16","Tiêm truyền tĩnh mạch","Kháng sinh / kháng nấm / kháng virus","Đã có hồ sơ chuyên môn nội bộ (kháng sinh/kháng nấm/kháng virus)","JW Amikacin","aminoglycoside"
"140","Kali clorid","Kali clorid","VD-33359-19","Uống","Dịch truyền - điện giải - dinh dưỡng","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","electrolyte_fluid"
"141","Kali clorid","Kali clorid","VD-25324-16","Tiêm","Dịch truyền - điện giải - dinh dưỡng","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","electrolyte_fluid"
"142","Kali clorid 10% 500mg/5ml","Kali clorid","893110360125","Tiêm","Dịch truyền - điện giải - dinh dưỡng","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","electrolyte_fluid"
"143","Kẽm oxyd 10%","Kẽm oxid","VD-19083-13","Dùng ngoài","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","eye_ent_derm_local"
"144","Ketoprofen EC DWP 100mg TTKN-25","Ketoprofen","VD-35224-21","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","nsaid"
"145","Ketorolac-BFS","Ketorolac","893110383624","Tiêm","Giảm đau - kháng viêm","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","nsaid"
"146","Koact 625","Amoxicilin (dưới dạng Amoxicilin trihydrat);Acid clavulanic (dưới dạng Clavulanat kali)","890110517024","Uống","Kháng sinh / kháng nấm / kháng virus","Đã có hồ sơ chuyên môn nội bộ (kháng sinh/kháng nấm/kháng virus)","Curam 625mg","amoxicillin_clavulanate"
"147","Kpec 500 TTKN-25","Capecitabin","893114228123","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","oncology"
"148","Lactated Ringer's TTKN -25","Natri clorid;Natri lactat;Kali clorid;Calci clorid dihydrat","893110118323","Tiêm truyền","Dịch truyền - điện giải - dinh dưỡng","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","electrolyte_fluid"
"149","Lafocain spray","Thiết bị y tế","240001029/PCBB-HN","Phun mù","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","local_anesthetic"
"150","Levobupi-BFS 50mg","Levobupivacain","VD-28877-18","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","local_anesthetic"
"151","Levofloxacin Kabi","Levofloxacin","VD-29316-18","Tiêm truyền","Kháng sinh / kháng nấm / kháng virus","Đã có hồ sơ chuyên môn nội bộ (kháng sinh/kháng nấm/kháng virus)","Bivelox I.V 5mg/ml","fluoroquinolone"
"152","Lidocain-BFS 200mg","Lidocain hydroclodrid","VD-24590-16","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","local_anesthetic"
"153","Lidocain hydroclorid 40mg/2ml","Lidocain hydroclodrid","VD-23764-15","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","local_anesthetic"
"154","Lignospan standard","Lidocain + epinephrin (adrenalin)","VN-16049-12","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","emergency_critical"
"155","Lisiplus HCT 10/12.5 TTKN-25","Lisinopril (dưới dạng lisinopril dihydrate) + Hydrochlorothiazide","VD-17766-12","Uống","Tim mạch","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","antihypertensive_raas_ccb_beta"
"156","Lorista 50","Losartan Kali","383110010624","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","arb_losartan"
